OBJECTID_1,OBJECTID,NUMBER0,SYSTEM_NAM,TINWSYS_LO,OWNER_TYPE,D_PRIN_CIT,D_PRIN_CNT,D_FED_PRIM,D_POPULATI,D_TTL_STOR,ST_ASGN_ID,D_PWS_FED_,TINWSF_IS_,FACILITY_N,TINWSF_LOC,FACILITY_T,WATER_TYPE,AVAILABILI,LAT,LON,HORIZ_REF_,DATA_COLLE,DEPTH_OF_W,DEPTH_OF_1,WELL_DIAME,WELL_DIA_1,STATIC_WAT,STATIC_W_1,OFFICE,OVERSIGHT,ACTIVE,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,impact,impact_dis,impact_eph,impact_e,impact_d,impact_de
"36","229",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000000,8100000.00000000000,"18025004",C,2568.00000000000,WELL #5,,WL,GW,P,35.57799700000,-105.25125100000,"003",,744.00000000000,FT,0.00000000000,,150.00000000000,FT,SANTA FE AREA OFFICE,SF FRANK BACA,"0",0.50000000000,"35",5056.00728919000,2033845.42164999992,"1","0","1","1","0","1"
"37","230",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000000,8100000.00000000000,"18025005",C,2569.00000000000,WELL #6,,WL,GW,P,35.57176400000,-105.24913000000,"003",,880.00000000000,FT,0.00000000000,,105.00000000000,FT,SANTA FE AREA OFFICE,SF FRANK BACA,"0",0.50000000000,"36",5056.00703781000,2033845.45068000001,"1","0","1","1","0","1"
"38","231",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000000,8100000.00000000000,"18025015",C,10871.00000000000,BRADNER LAKE DAM INTAKE,,IN,SW,P,35.64782100000,-105.27445400000,"003",2005/03/23,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"0",0.50000000000,"37",5056.01049137000,2033845.43357000011,"1","0","1","1","0","1"
"39","232",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000000,8100000.00000000000,"18025030",C,14084.00000000000,WELL #2R,,WL,GW,P,35.56747000000,-105.24733800000,"003",2018/02/12,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"0",0.50000000000,"38",5056.00684591000,2033845.45632000011,"1","0","1","1","0","1"
"40","233",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000000,8100000.00000000000,"18025012",C,10593.00000000000,INFILTRATION GALLERY #1,,IG,GU,P,35.64930200000,-105.27415500000,"003",2014/09/23,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"0",0.50000000000,"39",5056.01058146000,2033845.45280000009,"1","0","1","1","0","1"
"41","234",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000000,8100000.00000000000,"18025014",C,10870.00000000000,PETERSON LAKE DAM INTAKE,,IN,SW,P,35.64984400000,-105.27942500000,"003",2014/09/23,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"0",0.50000000000,"40",5056.01054489000,2033845.40296000009,"1","0","1","1","0","1"
"42","235",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000000,8100000.00000000000,"18025023",C,14079.00000000000,BRADNER RESERVOIR,,RS,SW,P,35.64782100000,-105.27445400000,"003",2018/02/12,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"0",0.50000000000,"41",5056.01049137000,2033845.43357000011,"1","0","1","1","0","1"
"43","236",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000000,8100000.00000000000,"18025016",C,10872.00000000000,STORRIE LAKE DAM INTAKE,,IN,SW,P,35.66479300000,-105.22792500000,"003",2005/03/23,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"0",0.50000000000,"42",5056.01121061000,2033845.39831000008,"1","0","1","1","0","1"
"44","310",NM3509824,AZTEC DOMESTIC WATER SYSTEM,,L,AZTEC,SAN JUAN,SW,5960.00000000000,7057000.00000000000,"09824019",C,13697.00000000000,RESERVOIR #3,,RS,SW,P,36.82122000000,-107.96593000000,"003",2017/08/15,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,JAMES JONES,"-1",0.50000000000,"43",5056.05152244000,2033845.42958000000,"1","0","1","1","0","1"
"45","311",NM3509824,AZTEC DOMESTIC WATER SYSTEM,,L,AZTEC,SAN JUAN,SW,5960.00000000000,7057000.00000000000,"09824016",C,10278.00000000000,CLEAR WELL (EP),,CW,SW,P,36.83576000000,-107.97749000000,"003",2017/08/16,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,JAMES JONES,"-1",0.50000000000,"44",5056.05190379000,2033845.45770999999,"1","0","1","1","0","1"
