OBJECTID,NUMBER0,SYSTEM_NAM,TINWSYS_LO,OWNER_TYPE,D_PRIN_CIT,D_PRIN_CNT,D_FED_PRIM,D_POPULATI,D_TTL_STOR,ST_ASGN_ID,D_PWS_FED_,TINWSF_IS_,FACILITY_N,TINWSF_LOC,FACILITY_T,WATER_TYPE,AVAILABILI,LAT,LON,HORIZ_REF_,DATA_COLLE,DEPTH_OF_W,DEPTH_OF_1,WELL_DIAME,WELL_DIA_1,STATIC_WAT,STATIC_W_1,OFFICE,OVERSIGHT,ACTIVE
"2623",NM3510701,ALBUQUERQUE WATER SYSTEM,,L,ALBUQUERQUE,BERNALILLO,SW,659736.00000000,92894000.00000000,"10701064",C,2280.00000000,SAN JOSE WELL # 2,,WL,GW,P,35.06097900,-106.64210600,"003",2002/02/05,0.00000000,,0.00000000,,122.00000000,FT,SANTA FE AREA OFFICE,WAYNE JEFFS,"0"
"2624",NM3510701,ALBUQUERQUE WATER SYSTEM,,L,ALBUQUERQUE,BERNALILLO,SW,659736.00000000,92894000.00000000,"10701090",C,2305.00000000,WEST MESA WELL # 2,,WL,GW,P,35.08560200,-106.73266900,"003",2002/02/05,0.00000000,,0.00000000,,240.00000000,FT,SANTA FE AREA OFFICE,WAYNE JEFFS,"0"
"2625",NM3510701,ALBUQUERQUE WATER SYSTEM,,L,ALBUQUERQUE,BERNALILLO,SW,659736.00000000,92894000.00000000,"10701084",C,2299.00000000,VOLCANO CLIFFS WELL # 3,,WL,GW,P,35.16672300,-106.72968600,"003",2002/02/05,0.00000000,,0.00000000,,473.00000000,FT,SANTA FE AREA OFFICE,WAYNE JEFFS,"0"
"2641",NM3533223,PONDEROSA MDWCA,,L,PONDEROSA,SANDOVAL,GU,350.00000000,96000.00000000,"33223004",C,7808.00000000,INFILTRATION GALLERY #2,,IG,GU,P,35.70425600,-106.62216300,"003",2001/05/07,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"-1"
"2642",NM3533223,PONDEROSA MDWCA,,L,PONDEROSA,SANDOVAL,GU,350.00000000,96000.00000000,"33223001",C,7236.00000000,INFILTRATION GALLERY #1,,IG,SW,P,35.70448200,-106.62235400,"003",,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"0"
"2940",NM3510324,LOWER VALLEY WATER USERS ASSOCIATION,,L,KIRTLAND,SAN JUAN,SW,8647.00000000,2000000.00000000,"10324011",C,12872.00000000,SAN JUAN RIVER INTAKE,SAN JUAN RIVER WATER,IN,SW,P,36.72358000,-108.32399000,"003",2018/05/09,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,JAMES JONES,"-1"
"2941",NM3510324,LOWER VALLEY WATER USERS ASSOCIATION,,L,KIRTLAND,SAN JUAN,SW,8647.00000000,2000000.00000000,"10324010",C,12871.00000000,RESERVOIR #2 (RAW),,RS,SW,P,36.73833300,-108.31527700,"003",2009/08/31,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,JAMES JONES,"-1"
"3205",NM3513114,RUIDOSO WATER SYSTEM,,L,RUIDOSO,LINCOLN,SW,19076.00000000,17158000.00000000,"13114017",C,2464.00000000,EAGLE CREEK #4,,WL,GW,P,33.39416700,-105.71694400,"003",2002/07/25,599.00000000,FT,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0"
"3206",NM3513114,RUIDOSO WATER SYSTEM,,L,RUIDOSO,LINCOLN,SW,19076.00000000,17158000.00000000,"13114018",C,2465.00000000,ALTO WELL # 2,,WL,GW,P,33.39497200,-105.66866600,"003",2000/10/01,695.00000000,FT,8.00000000,IN,21.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0"
"3207",NM3513114,RUIDOSO WATER SYSTEM,,L,RUIDOSO,LINCOLN,SW,19076.00000000,17158000.00000000,"13114021",C,2467.00000000,APPLE ORCHARD WELL,,WL,GW,P,33.40119400,-105.69752800,"003",,540.00000000,FT,6.00000000,IN,30.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0"
"3208",NM3513114,RUIDOSO WATER SYSTEM,,L,RUIDOSO,LINCOLN,SW,19076.00000000,17158000.00000000,"13114022",C,2468.00000000,FAULT WELL,,WL,GW,P,33.39922200,-105.70038900,"003",,800.00000000,FT,6.00000000,IN,30.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0"
"3209",NM3513114,RUIDOSO WATER SYSTEM,,L,RUIDOSO,LINCOLN,SW,19076.00000000,17158000.00000000,"13114023",C,2469.00000000,RIVER WELL,,WL,GW,P,33.39822200,-105.68197200,"003",2000/10/20,535.00000000,FT,6.00000000,IN,20.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0"
"3210",NM3513114,RUIDOSO WATER SYSTEM,,L,RUIDOSO,LINCOLN,SW,19076.00000000,17158000.00000000,"13114024",C,12144.00000000,EAGLE CREEK DIVERSION,,IN,SW,P,33.39311100,-105.71838800,"003",2000/10/01,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0"
"3211",NM3513114,RUIDOSO WATER SYSTEM,,L,RUIDOSO,LINCOLN,SW,19076.00000000,17158000.00000000,"13114009",C,7002.00000000,GRINDSTONE DIVERSION (UPPER CANYON),,IN,SW,P,33.33700000,-105.72144400,"003",2000/10/01,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0"
"3212",NM3513114,RUIDOSO WATER SYSTEM,,L,RUIDOSO,LINCOLN,SW,19076.00000000,17158000.00000000,"13114019",C,7043.00000000,ALTO RESEVOIR,,RS,SW,P,33.39700000,-105.67338800,"003",2000/10/01,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0"
"2942",NM3510324,LOWER VALLEY WATER USERS ASSOCIATION,,L,KIRTLAND,SAN JUAN,SW,8647.00000000,2000000.00000000,"10324002",C,6995.00000000,FARMERS DITCH,,IN,SW,P,36.73158600,-108.31425000,"003",2018/05/09,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,JAMES JONES,"-1"
"2943",NM3510324,LOWER VALLEY WATER USERS ASSOCIATION,,L,KIRTLAND,SAN JUAN,SW,8647.00000000,2000000.00000000,"10324009",C,12748.00000000,RESERVOIR #1 (RAW),,RS,SW,P,36.73666600,-108.31527700,"003",2009/08/31,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,JAMES JONES,"-1"
"2944",NM3510324,LOWER VALLEY WATER USERS ASSOCIATION,,L,KIRTLAND,SAN JUAN,SW,8647.00000000,2000000.00000000,"10324001",C,6996.00000000,WESTLAND PARK INTAKE,,IN,SW,P,36.73139000,-108.24924200,"003",2006/04/26,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,JAMES JONES,"0"
"3240",NM3500725,TRES LAGUNAS HOME OWNERS ASSOCIATION,,P,PECOS,SAN MIGUEL,GU,52.00000000,11250.00000000,"00725002",NC,1824.00000000,HAND DUG WELL (MIDDLE WELL),,WL,GU,P,35.72283300,-105.67902700,"003",2011/09/23,10.00000000,FT,0.00000000,,7.00000000,FT,SANTA FE AREA OFFICE,SF FRANK BACA,"-1"
"3241",NM3500725,TRES LAGUNAS HOME OWNERS ASSOCIATION,,P,PECOS,SAN MIGUEL,GU,52.00000000,11250.00000000,"00725004",NC,1825.00000000,NORTH WELL,,WL,GU,P,35.72311100,-105.67880500,"003",2011/09/23,120.00000000,FT,5.00000000,IN,21.00000000,FT,SANTA FE AREA OFFICE,SF FRANK BACA,"-1"
"3019",NM3590619,CAMP WEHINAHPAY,,P,SACRAMENTO,OTERO,SW,139.00000000,43000.00000000,"90619002",NC,7189.00000000,SPRING #1,,SP,SW,P,32.76213800,-105.68928300,"003",,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,ANTONIO ROMERO,"-1"
"3020",NM3590619,CAMP WEHINAHPAY,,P,SACRAMENTO,OTERO,SW,139.00000000,43000.00000000,"90619001",NC,4339.00000000,WELL #1,,WL,GW,P,32.76331400,-105.68980400,"003",,180.00000000,FT,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,ANTONIO ROMERO,"0"
"3189",NM3513114,RUIDOSO WATER SYSTEM,,L,RUIDOSO,LINCOLN,SW,19076.00000000,17158000.00000000,"13114003",C,2454.00000000,CHEROKEE WELL (H-272),,WL,GW,P,33.31211100,-105.63625000,"003",2000/10/01,375.00000000,FT,8.00000000,IN,135.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
